ts,symbol,status,open,high,low,close,upper,lower,is_cross
1771166040,CHFJPY_otc,LIVE,198.616,198.674,198.599,198.636,1,1,1
1771166100,CHFJPY_otc,LIVE,198.636,198.687,198.577,198.640,1,1,1
1771166160,CHFJPY_otc,LIVE,198.633,198.668,198.599,198.645,1,1,1
1771166220,CHFJPY_otc,LIVE,198.637,198.654,198.607,198.632,1,1,1
1771166280,CHFJPY_otc,LIVE,198.637,198.657,198.447,198.453,1,1,1
1771166340,CHFJPY_otc,LIVE,198.449,198.466,198.333,198.361,1,1,1
1771166400,CHFJPY_otc,LIVE,198.358,198.450,198.358,198.386,1,0,0
1771166460,CHFJPY_otc,LIVE,198.390,198.426,198.326,198.337,1,1,1
1771166520,CHFJPY_otc,LIVE,198.337,198.435,198.323,198.378,1,1,1
1771166580,CHFJPY_otc,LIVE,198.382,198.427,198.369,198.371,1,1,1
1771166640,CHFJPY_otc,LIVE,198.374,198.387,198.300,198.366,1,1,1
1771166700,CHFJPY_otc,LIVE,198.360,198.372,198.275,198.372,0,1,0
1771166760,CHFJPY_otc,LIVE,198.372,198.462,198.362,198.440,1,1,1
1771166820,CHFJPY_otc,LIVE,198.440,198.591,198.440,198.581,1,0,0
1771166880,CHFJPY_otc,LIVE,198.570,198.697,198.570,198.580,1,0,0
1771166940,CHFJPY_otc,LIVE,198.584,198.584,198.474,198.474,0,0,0
1771167000,CHFJPY_otc,LIVE,198.477,198.608,198.477,198.526,1,0,0
1771167060,CHFJPY_otc,LIVE,198.539,198.552,198.454,198.499,1,1,1
1771167120,CHFJPY_otc,LIVE,198.499,198.505,198.435,198.440,1,1,1
1771167180,CHFJPY_otc,LIVE,198.440,198.525,198.397,198.500,1,1,1
1771167240,CHFJPY_otc,LIVE,198.500,198.626,198.493,198.528,1,1,1
1771167300,CHFJPY_otc,LIVE,198.528,198.577,198.444,198.573,1,1,1
1771167360,CHFJPY_otc,LIVE,198.570,198.664,198.561,198.610,1,1,1
1771167420,CHFJPY_otc,LIVE,198.595,198.621,198.473,198.478,1,1,1
1771167480,CADCHF_otc,LIVE,0.599,0.599,0.598,0.598,0,1,0
1771167540,CADCHF_otc,LIVE,0.598,0.598,0.598,0.598,0,1,0
1771167600,CADCHF_otc,LIVE,0.598,0.599,0.598,0.598,1,1,1
1771167660,CADCHF_otc,LIVE,0.598,0.599,0.598,0.599,0,1,0
1771167720,CADCHF_otc,LIVE,0.599,0.600,0.599,0.600,1,1,1
1771167780,CADCHF_otc,LIVE,0.600,0.600,0.599,0.600,1,1,1
1771167840,CADCHF_otc,LIVE,0.600,0.600,0.599,0.600,1,1,1
1771167900,CADCHF_otc,LIVE,0.600,0.601,0.600,0.600,1,1,1
1771167960,CADCHF_otc,LIVE,0.600,0.600,0.600,0.600,1,1,1
1771168020,CADCHF_otc,LIVE,0.600,0.601,0.600,0.601,1,1,1
1771168080,CADCHF_otc,LIVE,0.601,0.602,0.600,0.601,1,1,1
1771163760,CHFJPY_otc,LIVE,198.991,199.09,198.985,199.08,1,1,1
1771163820,CHFJPY_otc,LIVE,199.08,199.109,198.98,199.026,1,1,1
1771163880,CHFJPY_otc,LIVE,199.026,199.077,198.978,198.998,1,1,1
1771163940,CHFJPY_otc,LIVE,198.99,199.034,198.949,198.989,1,1,1
1771164000,CHFJPY_otc,LIVE,198.989,199.087,198.985,198.985,1,0,0
1771164060,CHFJPY_otc,LIVE,198.985,198.985,198.858,198.879,0,1,0
1771164120,CHFJPY_otc,LIVE,198.879,198.897,198.805,198.826,1,1,1
1771164180,CHFJPY_otc,LIVE,198.838,198.905,198.8,198.898,1,1,1
1771164240,CHFJPY_otc,LIVE,198.916,199.023,198.912,198.989,1,1,1
1771164300,CHFJPY_otc,LIVE,198.989,198.992,198.882,198.939,1,1,1
1771164360,CHFJPY_otc,LIVE,198.939,199.015,198.926,198.97,1,1,1
1771164420,CHFJPY_otc,LIVE,198.981,199.034,198.938,198.938,1,0,0
1771164480,CHFJPY_otc,LIVE,198.938,198.955,198.825,198.825,1,0,0
1771164540,CHFJPY_otc,LIVE,198.825,198.925,198.81,198.814,1,1,1
1771164600,CHFJPY_otc,LIVE,198.805,198.846,198.757,198.83,1,1,1
1771164660,CHFJPY_otc,LIVE,198.827,198.834,198.687,198.765,1,1,1
1771164720,CHFJPY_otc,LIVE,198.768,198.821,198.752,198.781,1,1,1
1771164780,CHFJPY_otc,LIVE,198.768,198.814,198.707,198.8,1,1,1
1771164840,CHFJPY_otc,LIVE,198.789,198.828,198.753,198.806,1,1,1
1771164900,CHFJPY_otc,LIVE,198.81,198.995,198.796,198.995,0,1,0
1771164960,CHFJPY_otc,LIVE,198.991,199.087,198.95,198.958,1,1,1
1771165020,CHFJPY_otc,LIVE,198.951,198.955,198.884,198.923,1,1,1
1771165080,CHFJPY_otc,LIVE,198.911,198.974,198.825,198.925,1,1,1
1771165140,CHFJPY_otc,LIVE,198.93,198.96,198.825,198.834,1,1,1
1771165200,CHFJPY_otc,LIVE,198.834,198.906,198.793,198.803,1,1,1
1771165260,CHFJPY_otc,LIVE,198.803,198.952,198.803,198.896,1,0,0
1771165320,CHFJPY_otc,LIVE,198.892,199.002,198.892,198.94,1,0,0
1771165380,CHFJPY_otc,LIVE,198.947,199.017,198.92,198.991,1,1,1
1771165440,CHFJPY_otc,LIVE,198.991,199.042,198.901,199.034,1,1,1
1771165500,CHFJPY_otc,LIVE,199.034,199.034,198.973,199.024,0,1,0
1771165560,CHFJPY_otc,LIVE,199.021,199.068,199.0,199.057,1,1,1
1771165620,CHFJPY_otc,LIVE,199.057,199.067,198.884,198.899,1,1,1
1771165680,CHFJPY_otc,LIVE,198.899,198.931,198.855,198.927,1,1,1
1771165740,CHFJPY_otc,LIVE,198.927,198.971,198.843,198.865,1,1,1
1771165800,CHFJPY_otc,LIVE,198.865,198.922,198.827,198.845,1,1,1
1771165860,CHFJPY_otc,LIVE,198.854,198.919,198.816,198.828,1,1,1
1771165920,CHFJPY_otc,LIVE,198.82,198.882,198.777,198.777,1,0,0
1771165980,CHFJPY_otc,LIVE,198.763,198.773,198.609,198.616,1,1,1
1771166040,CHFJPY_otc,LIVE,198.616,198.674,198.599,198.636,1,1,1
1771166100,CHFJPY_otc,LIVE,198.636,198.687,198.577,198.64,1,1,1
1771166160,CHFJPY_otc,LIVE,198.633,198.668,198.599,198.645,1,1,1
1771166220,CHFJPY_otc,LIVE,198.637,198.654,198.607,198.632,1,1,1
1771166280,CHFJPY_otc,LIVE,198.637,198.657,198.447,198.453,1,1,1
1771166340,CHFJPY_otc,LIVE,198.449,198.466,198.333,198.361,1,1,1
1771166400,CHFJPY_otc,LIVE,198.358,198.45,198.358,198.386,1,0,0
1771166460,CHFJPY_otc,LIVE,198.39,198.426,198.326,198.337,1,1,1
1771166520,CHFJPY_otc,LIVE,198.337,198.435,198.323,198.378,1,1,1
1771166580,CHFJPY_otc,LIVE,198.382,198.427,198.369,198.371,1,1,1
1771166640,CHFJPY_otc,LIVE,198.374,198.387,198.3,198.366,1,1,1
1771166700,CHFJPY_otc,LIVE,198.36,198.372,198.275,198.372,0,1,0
1771166760,CHFJPY_otc,LIVE,198.372,198.462,198.362,198.44,1,1,1
1771166820,CHFJPY_otc,LIVE,198.44,198.591,198.44,198.581,1,0,0
1771166880,CHFJPY_otc,LIVE,198.57,198.697,198.57,198.58,1,0,0
1771166940,CHFJPY_otc,LIVE,198.584,198.584,198.474,198.474,0,0,0
1771167000,CHFJPY_otc,LIVE,198.477,198.608,198.477,198.526,1,0,0
1771167060,CHFJPY_otc,LIVE,198.539,198.552,198.454,198.499,1,1,1
1771167120,CHFJPY_otc,LIVE,198.499,198.505,198.435,198.44,1,1,1
1771167180,CHFJPY_otc,LIVE,198.44,198.525,198.397,198.5,1,1,1
1771167240,CHFJPY_otc,LIVE,198.5,198.626,198.493,198.528,1,1,1
1771167300,CHFJPY_otc,LIVE,198.528,198.577,198.444,198.573,1,1,1
1771167360,CHFJPY_otc,LIVE,198.57,198.664,198.561,198.61,1,1,1
1771167420,CHFJPY_otc,LIVE,198.595,198.621,198.473,198.478,1,1,1
1771167480,CHFJPY_otc,LIVE,198.478,198.545,198.474,198.524,1,1,1
1771167540,CHFJPY_otc,LIVE,198.524,198.525,198.358,198.379,1,1,1
1771167600,CHFJPY_otc,LIVE,198.385,198.42,198.356,198.388,1,1,1
1771167660,CHFJPY_otc,LIVE,198.407,198.43,198.361,198.365,1,1,1
1771167720,CHFJPY_otc,LIVE,198.36,198.435,198.341,198.434,1,1,1
1771167780,CHFJPY_otc,LIVE,198.43,198.438,198.263,198.277,1,1,1
1771167840,CHFJPY_otc,LIVE,198.274,198.31,198.225,198.239,1,1,1
1771167900,CHFJPY_otc,LIVE,198.249,198.287,198.206,198.27,1,1,1
1771167960,CHFJPY_otc,LIVE,198.274,198.394,198.274,198.342,1,0,0
1771168020,CHFJPY_otc,LIVE,198.336,198.377,198.201,198.221,1,1,1
1771168080,CHFJPY_otc,LIVE,198.224,198.375,198.216,198.336,1,1,1
1771168140,CHFJPY_otc,LIVE,198.333,198.373,198.179,198.182,1,1,1
1771168200,CHFJPY_otc,LIVE,198.186,198.231,198.16,198.195,1,1,1
